"Basin
Subbasin ID",Basin Name,Subbasin Name,Hydrologic Name,Basin - Subbasin Area (acre),Total Rank Scoring,Final Priority,Population (2010),Final Population Rank,"Population Growth
%",Final Population Growth Rank,Total Wells,Final Well Rank (discounted),Total Public Supply Wells,Final Public Supply Well Rank,"Groundwater Volume
(Ac-Ft)",% of total water supply supplied by groundwater,% of total water supply supplied by surface water,Final groundwater volume rank,Final % of total water supply supplied by groundwater rank,Final groundwater Reliance rank,Irrigated Acreage,Final Irrigated Acreage Rank,Impact Ranks,Impact Comments,Other Information Rank,Other Information Comments,Additional Comments
8-2.02,UPPER SANTA ANA VALLEY,CUCAMONGA,South Coast,"9,574",18.3,Medium,"51,001",4,102%,1,26,0.75,17,5,"14,400",30%,70%,5,2,3.5,11,1,3,High nitrates reported in 14 of 24 wells tested (B-118),,,GW Use and percent supplied by GW is from Cucamona Valley Water District
8-2.03,UPPER SANTA ANA VALLEY,RIVERSIDE-ARLINGTON,South Coast,"58,903",24.5,High,"336,884",4,111%,2,"1,397",3,47,4,"49,148",71%,29%,5,4,4.5,"3,583",2,5,Water quality degradation issues known in several public supply wells.,,,
8-2.04,UPPER SANTA ANA VALLEY,RIALTO-COLTON,South Coast,"30,224",18.3,Medium,"145,832",4,106%,1,265,2.25,42,4,"12,000",52%,48%,3,3,3,32,1,3,Extensive perchlorate contamination in basin.,,,GW Use based on B118-03 data
8-2.05,UPPER SANTA ANA VALLEY,CAJON,South Coast,"23,306",0.0,Very Low,520,1,102%,0,68,0.75,3,1,33,13%,87%,5,1,0.5,60,1,,,,,GW use may be under reported
8-2.06,UPPER SANTA ANA VALLEY,BUNKER HILL,South Coast,"80,972",21.3,High,"363,394",4,104%,1,"1,247",2.25,167,5,"32,550",60%,40%,3,3,3,"3,257",2,3,The Bunker Hill sub-basin is impacted with PCE and TCE from the Newmark Superfund site and with perchlorate from the Crafton-Redlands plume.,1,Adjudication (Western San Bernardino),"PubCom, reported WQ issues and some declining GWL. "
8-2.07,UPPER SANTA ANA VALLEY,YUCAIPA,South Coast,"25,410",20.8,Medium,"65,180",3,106%,1,220,2.25,37,4,"8,270",68%,32%,3,4,3.5,"1,272",2,5,Overdraft. Documented impacts of nitrates and sulfates. (B-118),,,
8-2.08,UPPER SANTA ANA VALLEY,SAN TIMOTEO,South Coast,"73,541",19.0,Medium,"54,169",2,156%,5,460,1.5,53,3,"6,310",75%,25%,1,4,2.5,"1,155",1,3,Locally high nitrates and salinity (B-118). GAMA reported upper basin water quality issues.,1,Parts of the subbasin are adjudicated.,
8-2.09,UPPER SANTA ANA VALLEY,TEMESCAL,South Coast,"23,654",19.5,Medium,"141,436",4,119%,2,445,3,15,3,"22,024",79%,21%,5,4,4.5,831,1,2,Groundwater quality impaired by nitrates and inorganics in some wells (B-118).,,,
8-4,ELSINORE,,South Coast,"25,873",21.3,High,"60,946",3,132%,4,375,2.25,31,4,"5,872",72%,28%,2,4,3,286,1,3,High TDS due to Nitrate and Sulfate in some portions of the basin (Elsinore Gw AdvisoryComm). Some fluoride impacts to groundwater (B-118).,1,"Study done for Elsinore Basin GW Advisory Committee (Nov. 2012) indicates an average annual GW budget deficit of 1,800 af/yr for the last 11 years. Between 1990 and 2000 cumulative deficit was 19,000 af.",GW Use based on Bulletin 118 and MWD data
8-5,SAN JACINTO,,South Coast,"188,623",24.3,High,"474,317",3,132%,4,"2,181",2.25,48,2,"91,842",86%,14%,3,5,4,"30,430",3,5,Basin is in overdraft (MWD). Groundwater quality issues documented in DWR B-118. Pumping has increased some contaminant distribution in the basin.,1,Adjudicated Basin,
8-6,HEMET LAKE VALLEY,,South Coast,"16,811",0.0,Very Low,464,1,115%,0,47,0.75,9,3,5,1%,99%,0,1,0,84,1,2,Locally high nitrates and TDS.(B-118),,,
8-7,BIG MEADOWS VALLEY,,South Coast,"14,263",0.0,Very Low,51,0,114%,0,23,0.75,15,4,3,52%,48%,5,3,0,0,0,,,,,
8-8,SEVEN OAKS VALLEY,,South Coast,"4,103",0.0,Very Low,7,0,71%,0,0,0,1,2,0,0%,100%,0,0,0,0,0,,,,,
8-9,BEAR VALLEY,,South Coast,"19,667",14.5,Medium,"16,866",2,102%,1,496,3,46,5,"3,500",52%,48%,2,3,2.5,0,0,1,Fluoride problems in some wells (B-118).,,,GW Use based on Bulletin 118 and Big Bear data
9-1,SAN JUAN VALLEY,,South Coast,"16,797",13.3,Low,"61,131",3,101%,1,194,2.25,11,3,"5,500",6%,94%,3,1,2,0,0,2,"TDS is generally high, springs with high fluorine, local pesticide contamination, and secondary inorganic contamination (B-118). Desalters used to treat water.",,,GW Use from MWD in 2004/2005.
9-10,SAN PASQUAL VALLEY,,South Coast,"4,563",19.0,Medium,968,1,139%,0,110,3,1,2,"8,800",100%,0%,5,5,5,"1,963",4,3,"Nitrate problems are widespread (B-118). TDS is also known to be high in places. During dry years, the basin has experienced water level declines up to 20 feet in one year per GWMP.",1,"2006 Farmland Mapping Data indicate irrigated acreage is 2,691 and quick GIS estimate by SRO indicates irrigated acreage is at least 2,100 acres.",GW Use and percent supplied by GW is from San Pasqual Valley GWMP
9-11,SANTA MARIA VALLEY,,South Coast,"12,379",0.0,Very Low,"16,695",2,109%,2,542,3.75,0,0,4,0%,100%,0,1,0,624,2,,,,,
9-12,SAN DIEGUITO CREEK,,South Coast,"3,578",0.0,Very Low,"3,135",2,111%,2,89,3,0,0,1,0%,100%,2,1,0,976,3,,,,,Possible WQ issues (histroical)
9-13,POWAY VALLEY,,South Coast,"2,485",0.0,Very Low,"16,450",5,116%,2,89,3.75,0,0,4,4%,96%,2,1,0,3,1,,,,,Possible WQ issues (histroical)
9-14,MISSION VALLEY,,South Coast,"7,387",0.0,Very Low,"37,066",4,120%,3,307,3.75,0,0,9,4%,96%,2,1,0,0,0,,,,,Possible WQ issues (histroical). Seawater intrusion is suspected (DWR 1975).
9-15,SAN DIEGO RIVER VALLEY,,South Coast,"9,944",15.8,Medium,"45,800",4,107%,1,339,3.75,4,3,"4,000",1%,99%,3,1,2,215,1,1,"High Nitrates, Iron and Manganese treatment is required, high TDS (>3,000 mg/l) in western portion of basin",,,"GW Use is estimated from 2007 San Diego Groundwater Basin Report Chapter 4, and from 2001 GW Mgmt Planning Study for Santee-El Monte Basin."
9-16,EL CAJON VALLEY,,South Coast,"7,203",0.0,Very Low,"92,314",5,109%,1,369,3.75,0,0,25,4%,96%,2,1,0,11,1,5,High nitrates and TDS have impaired the basin for domestic use and high chlorides make the water marginal to inferior for irrigation uses (B-118).,,,
9-17,SWEETWATER VALLEY,,South Coast,"5,949",0.0,Very Low,"35,277",4,106%,1,509,3.75,5,4,9,4%,96%,2,1,0,0,0,5,"TDS, chloride and sodium content of the groundwater generally exceed the recommended limits for drinking (B-118, & DWR 1986).",,,
9-18,OTAY VALLEY,,South Coast,"6,869",0.0,Very Low,"39,191",4,108%,1,204,3,0,0,10,2%,98%,2,1,0,83,1,5,Groundwater is marginal to inferior for domestic use in the coastal plain due to high TDS content and suitable in the eastern part of the basin and is marginal to inferior for irrigation due to high chloride concentrations (B-118 & DWR 1967).,,,
9-19,TIA JUANA,,South Coast,"7,448",0.0,Very Low,"50,694",5,103%,1,87,2.25,0,0,14,1%,99%,0,1,0,305,2,5,"Chloride and sulfate exceed MCL in some wells(Izbicki 1985). MCL for aluminum, barium, lead, selenium, and silver concentrations are exceeded individually in some wells (Dudek 1994).",,,
9-2,SAN MATEO VALLEY,,South Coast,"3,009",0.0,Very Low,554,1,141%,0,21,1.5,4,4,0,0%,100%,0,0,0,515,3,3,Locally high TDS and some elevated nitrates in wells (B-118),,,GW Use based on B118-03 data
9-22,BATIQUITOS LAGOON VALLEY,,South Coast,745,0.0,Very Low,"2,109",3,180%,5,5,1.5,0,0,0,0%,100%,0,0,0,6,1,4,The groundwater in this basin was rated inferior for irrigation because of high chloride content and marginal for domestic use because of high sulfate and TDS concentrations (DWR 1967).,,,
9-23,SAN ELIJO VALLEY,,South Coast,888,0.0,Very Low,"1,125",2,133%,4,25,3,0,0,0,0%,100%,0,0,0,8,1,5,High TDS limits beneficial uses (B-118),,,
9-24,PAMO VALLEY,,South Coast,"1,514",0.0,Very Low,0,0,0%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,GW Use may be under reported
9-25,RANCHITA TOWN AREA,,South Coast,"3,146",0.0,Very Low,168,1,129%,0,78,3,0,0,0,0%,100%,0,0,0,29,1,,,,,GW Use may be under reported
9-27,COTTONWOOD VALLEY,,South Coast,"3,871",0.0,Very Low,44,1,145%,0,17,1.5,5,4,0,0%,100%,0,0,0,148,1,,,1,"Basin area is listed by EPA as a ""Sole Source
Aquifer"" in EPA Region 9.",GW Use may be under reported
9-28,CAMPO VALLEY,,South Coast,"3,569",0.0,Very Low,985,1,179%,0,55,2.25,5,4,0,0%,100%,0,0,0,310,2,,,1,"Basin area is listed by EPA as a ""Sole Source
Aquifer"" in EPA Region 9.",GW Use may be under reported
9-29,POTRERO VALLEY,,South Coast,"2,035",0.0,Very Low,475,1,146%,0,62,3,3,4,0,0%,100%,0,0,0,131,2,,,,,GW Use may be under reported
9-3,SAN ONOFRE VALLEY,,South Coast,"1,261",0.0,Very Low,"3,133",3,292%,5,2,0.75,3,5,1,4%,96%,2,1,0,0,0,,,,,
9-32,SAN MARCOS AREA,,South Coast,"2,144",0.0,Very Low,"15,096",5,124%,3,52,3,0,0,4,4%,96%,2,1,0,0,0,,,,,Percent water provided by GW is based on B118-03 data
9-4,SANTA MARGARITA VALLEY,,South Coast,"7,998",17.8,Medium,"4,121",2,102%,1,111,2.25,9,4,"5,800",93%,7%,4,5,4.5,157,1,2,"Groundwater in SW part of basin is marginal to inferior for domestic and agricultural uses (DWR 1967). Mg, SO4, Cl, NO3, and TDS concentrations are locally high for domestic. Use; Cl, B, and TDS are locally high for ag use (DWR 1975).",1,Adjudicated Basin,GW Use id provided by MWD and water master reports 
9-5,TEMECULA VALLEY,,South Coast,"88,338",23.0,High,"219,431",3,148%,5,"1,556",3,53,3,"3,365",18%,82%,1,1,1,"4,800",2,5,"Groundwater source is impaired in various parts of the basin due to elevated nitrates, fluoride, sulfates, TDS, and VOCs (B-118).",1,Adjudicated Basin,
9-6,CAHUILLA VALLEY,,South Coast,"18,342",17.5,Medium,"1,993",1,123%,3,406,3,8,3,"2,115",100%,0%,2,5,3.5,"1,849",2,1,"Locally, sulfates and nitrates are high for domestic use (DWR 1975). Nitrate concentrations reach as much as 128 mg/L (Moyle 1976).",1,Adjudicated Basin,GW Use and percent of water supplied by GW is from 2013 Water master report for years 2011-2012
9-7,SAN LUIS REY VALLEY,,South Coast,"29,865",19.0,Medium,"43,942",2,105%,1,500,3,48,5,"14,400",5%,95%,3,1,2,"7,830",3,3,"TDS is a concern according to MWD. B-118 indicates problems with nitrates, inorganics, radiologicals, and VOCs. Desalination generally required in all areas of the basin.",,,"Groundwater reliance from MWD report online. Percentage of groundwater vs. surface water use is unknown. It is likely that the groundwater reliance percentage is much higher, but no information could be found other than the extraction amount of 14,400 AFY"
9-8,WARNER VALLEY,,South Coast,"24,150",0.0,Very Low,185,0,78%,0,72,0.75,31,4,0,0%,100%,0,0,0,0,0,1,Groundwater generally suitable except for elevated fluoride contents near hot springs,,,
9-9,ESCONDIDO VALLEY,,South Coast,"2,906",0.0,Very Low,"38,593",5,104%,1,221,3.75,0,0,10,3%,97%,0,1,0,40,1,2,"Local sources of groundwater in this basin are categorized as suitable to inferior for domestic use. The water categorized as inferior typically contains high nitrate, TDS, or sulfate content (DWR 1967).",,,
